product_id,card_id
1,101001
1,101002
1,101003
1,101004
1,101005
1,101006
1,101007
1,101008
1,101009
1,101010
1,101011
1,101012
1,101013
1,101014
1,101015
1,101016
1,101017
1,101018
1,101019
1,101020
1,101021
1,101022
1,101023
1,101024
1,101025
1,101026
1,101027
1,101028
1,101029
1,101030
1,101031
1,101032
1,101033
1,101034
1,101035
1,101036
1,101037
1,101038
1,101039
1,101040
1,101041
1,101042
1,101043
1,101044
1,101045
1,101046
1,101047
1,101048
1,101049
1,101050
1,101051
1,101052
1,101053
1,101054
1,101055
1,101056
1,101057
1,101058
1,101059
1,101060
1,101061
1,101062
1,101063
1,101064
1,101065
1,101066
1,101067
1,101068
1,101069
1,101070
1,101071
1,101072
1,101073
1,101074
1,101075
1,101076
1,101077
1,101078
1,101079
1,101080
1,101081
1,101082
1,101083
1,101084
1,101085
1,101086
1,101087
1,101088
1,101089
1,101090
1,101091
1,101092
1,101093
1,101094
1,101095
1,101096
1,101097
1,101098
1,101099
1,101100
1,101101
1,101102
1,101103
1,101104
1,101105
1,101106
1,101107
1,101108
1,101109
1,101110
1,101111
1,101112
1,101113
1,101114
1,101115
1,101116
1,101117
1,101118
1,101119
1,101120
1,101121
1,101122
1,101123
1,101124
1,101125
1,101126
1,101127
1,101128
1,101129
1,101130
1,101131
1,101132
1,101133
1,101134
1,101135
1,101136
1,101137
1,101138
1,101139
1,101140
1,101141
1,101142
1,101143
1,101144
1,101145
1,101146
1,101147
1,101148
1,101149
1,101150
1,101151
1,101152
1,101153
1,101154
1,101155
1,101156
1,101157
1,101158
1,101159
1,101160
1,101161
1,101162
1,101163
1,101164
1,101165
1,101166
1,101167
1,101168
1,101169
1,101170
1,101171
1,101172
1,101173
1,101174
1,101175
1,101176
1,101177
1,101178
1,101179
1,101180
1,101181
1,101182
1,101183
1,101184
1,101185
1,101186
1,101187
1,101188
1,101189
1,101190
1,101191
1,101192
1,101193
1,101194
1,101195
1,101196
1,101197
1,101198
1,101199
1,101200
1,101201
1,101202
1,101203
1,101204
1,101205
1,101206
1,101207
1,101208
1,101209
1,101210
1,101211
1,101212
1,101213
1,101214
1,101215
1,101216
1,101217
1,101218
1,101219
1,101220
1,101221
1,101222
1,101223
1,101224
1,101225
1,101226
1,101227
1,101228
1,101229
1,101230
1,101231
1,101232
1,101233
1,101234
1,101235
1,101236
1,101237
1,101238
1,101239
1,101240
1,101241
1,101242
1,101243
1,101244
1,101245
1,101246
1,101247
1,101248
1,101249
1,101250
1,101251
1,101252
1,101253
1,101254
1,101255
1,101256
1,101257
1,101258
1,101259
1,101260
1,101261
1,101262
1,101263
1,101264
1,101265
1,101266
1,101267
1,101268
1,101269
1,101270
1,101271
1,101272
1,101273
1,101274
1,101275
1,101276
1,101277
1,101278
1,101279
1,101280
1,101281
1,101282
1,101283
1,101284
1,101285
1,101286
1,101287
1,101288
1,101289
1,101290
1,101291
1,101292
1,101293
1,101294
1,101295
1,101296
1,101297
1,101298
1,101299
1,101300
1,101301
1,101302
1,101303
1,101304
1,101305
1,101306
1,101307
1,101308
1,101309
1,101310
1,101311
1,101312
1,101337
1,101338
1,101339
1,101340
1,101341
1,101342
3,103313
3,103314
3,103315
3,103316
3,103317
3,103318
3,103319
3,103320
3,103321
3,103322
3,103323
3,103324
3,103325
3,103326
3,103327
3,103328
3,103329
3,103330
3,103331
3,103332
3,103333
3,103334
3,103335
3,103336
4,104001
10,104001
4,104002
10,104002
4,104003
10,104003
4,104004
10,104004
4,104005
10,104005
4,104006
10,104006
4,104007
10,104007
4,104008
10,104008
4,104009
10,104009
4,104010
10,104010
4,104011
10,104011
4,104012
10,104012
4,104013
10,104013
4,104014
10,104014
4,104015
10,104015
4,104016
10,104016
4,104017
10,104017
4,104018
10,104018
4,104019
10,104019
4,104020
10,104020
4,104021
10,104021
4,104022
10,104022
4,104023
10,104023
4,104024
10,104024
5,105001
10,105001
5,105002
10,105002
5,105003
10,105003
5,105004
10,105004
5,105005
10,105005
5,105006
10,105006
5,105007
10,105007
5,105008
10,105008
5,105009
10,105009
5,105010
10,105010
5,105011
10,105011
5,105012
10,105012
5,105013
10,105013
5,105014
10,105014
5,105015
10,105015
5,105016
10,105016
5,105017
10,105017
5,105018
10,105018
5,105019
10,105019
5,105020
10,105020
5,105021
10,105021
5,105022
10,105022
5,105023
10,105023
5,105024
10,105024
6,106001
6,106002
6,106003
6,106004
6,106005
6,106006
6,106007
6,106008
6,106009
6,106010
6,106011
6,106012
6,106013
6,106014
6,106015
6,106016
6,106017
6,106018
6,106019
6,106020
6,106021
6,106022
6,106023
6,106024
6,106025
6,106026
6,106027
6,106028
6,106029
6,106030
6,106031
6,106032
6,106033
6,106034
6,106035
6,106036
6,106037
6,106038
6,106039
6,106040
6,106041
6,106042
6,106043
6,106044
6,106045
6,106046
6,106047
6,106048
6,106049
6,106050
6,106051
6,106052
6,106053
6,106054
6,106055
6,106056
6,106057
6,106058
6,106059
6,106060
6,106061
6,106062
6,106063
6,106064
6,106065
6,106066
6,106067
6,106068
6,106069
6,106070
6,106071
6,106072
6,106073
6,106074
6,106075
6,106076
6,106077
6,106078
6,106079
6,106080
6,106081
6,106082
6,106083
6,106084
6,106085
6,106086
6,106087
6,106088
6,106089
6,106090
6,106091
6,106092
6,106093
6,106094
6,106095
6,106096
6,106097
6,106098
6,106099
6,106100
6,106101
6,106102
6,106103
6,106104
6,106105
6,106106
6,106107
6,106108
6,106109
6,106110
6,106111
6,106112
6,106113
6,106114
6,106115
6,106116
6,106117
6,106118
6,106119
6,106120
6,106121
6,106122
6,106123
6,106124
6,106125
6,106126
6,106127
6,106128
6,106129
6,106130
6,106131
6,106132
9011,106901
7,107001
10,107001
7,107002
10,107002
7,107003
10,107003
7,107004
10,107004
7,107005
10,107005
7,107006
10,107006
7,107007
10,107007
7,107008
10,107008
7,107009
10,107009
7,107010
10,107010
7,107011
10,107011
7,107012
10,107012
7,107013
10,107013
7,107014
10,107014
7,107015
10,107015
7,107016
10,107016
7,107017
10,107017
